"capability_id","route","workspace","loading","empty","first_use","populated","filtered_empty","partial","stale","validation_error","server_error","permission_denied","blocked","dependency_missing","approval_pending","success","save_failure","unsaved","conflict","paused","archived","not_ready","source_review_status","notes"
"CAP-B01-008","/angelcare-marketplace/admin/catalog/items/[itemId]/fulfillment","Accueil / Produits & services","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ProductStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B01-009","/angelcare-marketplace/admin/catalog/items/[itemId]/trust","Accueil / Produits & services","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ProductStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B01-010","/angelcare-marketplace/admin/catalog/items/[itemId]/preview","Accueil / Produits & services","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ProductStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B02-001","/angelcare-marketplace/admin/catalog/categories","Catégories & collections","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CategoryStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B02-002","/angelcare-marketplace/admin/catalog/categories/[categoryId]","Catégories & collections","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CategoryStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B02-003","/angelcare-marketplace/admin/catalog/categories/[categoryId]/storefront","Catégories & collections","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CategoryStudio / CategoryExperienceEditor; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B02-004","/angelcare-marketplace/admin/catalog/categories/[categoryId]/seo","Catégories & collections","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CategoryStudio / CategoryDiscoveryEditor; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B02-005","/angelcare-marketplace/admin/catalog/categories/[categoryId]/products","Catégories & collections","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CategoryStudio / CategoryProductComposer; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B02-006","/angelcare-marketplace/admin/merchandising/collections","Catégories & collections","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_REVIEWED","CollectionStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B02-007","/angelcare-marketplace/admin/category-native/schemas","Catégories & collections","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","SchemaArchitectureStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B02-008","/angelcare-marketplace/admin/category-native/archetypes/[schemaKey]","Catégories & collections","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ArchetypeStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B02-009","/angelcare-marketplace/admin/category-native/template-factory","Catégories & collections","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CsvTemplateFactory; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B02-010","/angelcare-marketplace/admin/category-native/imports","Catégories & collections","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CsvImportStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B03-001","/angelcare-marketplace/admin/customers","Clients","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CustomerRegistryWorkspace; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B03-002","/angelcare-marketplace/admin/customers/new","Clients","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CustomerCreateWorkspace; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B03-003","/angelcare-marketplace/admin/customers/[customerId]","Clients","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CustomerCommandPage / CustomerMegaDossierOverlay; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B03-004","/angelcare-marketplace/admin/customers/[customerId]/commercial","Clients","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CustomerCommandPage / CustomerMegaDossierOverlay Portefeuille; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B03-005","/angelcare-marketplace/admin/customers/[customerId]/payments","Clients","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CustomerCommandPage / CustomerMegaDossierOverlay Finance; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B03-006","/angelcare-marketplace/admin/customers/[customerId]/family","Clients","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CustomerCommandPage / CustomerInlineOperations Family; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B03-007","/angelcare-marketplace/admin/customers/segments","Clients","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","SegmentIntelligenceWorkspace / SegmentBuilder; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B03-008","/angelcare-marketplace/admin/customers/support","Clients","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CustomerCasesWorkspace / CustomerCaseDrawer; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B03-009","/angelcare-marketplace/admin/customers/[customerId]/activity","Clients","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CustomerCommandPage / CustomerMegaDossierOverlay Activité; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B03-010","/angelcare-marketplace/admin/customers/health","Clients","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","CustomerHealthWorkspace; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B04-001","/angelcare-marketplace/admin/orders","Commandes & réservations","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","EnterpriseOrderCommand; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B04-002","/angelcare-marketplace/admin/orders","Commandes & réservations","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","EnterpriseOrderCommand; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B04-003","/angelcare-marketplace/admin/orders/new","Commandes & réservations","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ManualOrderCommand; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B04-004","/angelcare-marketplace/admin/orders/[orderId]","Commandes & réservations","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","OrderMegaCommand + OrderInlineOperations; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B04-005","/angelcare-marketplace/admin/bookings","Commandes & réservations","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","BookingCommand; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B04-006","/angelcare-marketplace/admin/commercial/quotes","Commandes & réservations","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","QuoteRegistry; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B04-007","/angelcare-marketplace/admin/conversion/enrollments","Commandes & réservations","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","SOURCE_SUPPORTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ConversionQueueBoard mode=enrollments; only states recorded in the approved-screen implementation evidence are asserted."
