"source_item_id","source_kind","source_file","route","batch_mapping","exported_symbols","imports","referenced_components","repository_service_symbols","redirect_information","operator_relevance","capability_ids","review_status","authority_classification","final_disposition","evidence"
"PAGE-15","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/activation/page.tsx","/angelcare-marketplace/admin/activation","B11","NONE","@/angelcare-marketplace/production-activation/admin-page","production-activation/admin-page","NONE","NONE","YES","CAP-B11-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/activation/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-16","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/academy/page.tsx","/angelcare-marketplace/admin/analytics/academy","B11","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/analytics-security/repository|@/angelcare-marketplace/analytics-security/components/MetricRegistry","auth/context|analytics-security/repository|analytics-security/components/MetricRegistry","repository","NONE","YES","CAP-B11-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/analytics/academy/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-17","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/b2b/page.tsx","/angelcare-marketplace/admin/analytics/b2b","B11","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/analytics-security/repository|@/angelcare-marketplace/analytics-security/components/MetricRegistry","auth/context|analytics-security/repository|analytics-security/components/MetricRegistry","repository","NONE","YES","CAP-B11-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/analytics/b2b/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-18","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/data-quality/page.tsx","/angelcare-marketplace/admin/analytics/data-quality","B11","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/analytics-security/repository|@/angelcare-marketplace/analytics-security/components/MetricRegistry","auth/context|analytics-security/repository|analytics-security/components/MetricRegistry","repository","NONE","YES","CAP-B11-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/analytics/data-quality/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-19","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/executive/page.tsx","/angelcare-marketplace/admin/analytics/executive","B11","NONE","next/navigation","NONE","NONE","/angelcare-marketplace/admin/analytics","LEGACY_COMPATIBILITY","CAP-B11-005","SOURCE_REVIEWED","LEGACY_COMPATIBILITY_SURFACE","LEGACY_COMPATIBILITY_ONLY","app/angelcare-marketplace/(protected)/admin/analytics/executive/page.tsx; source imports/handlers and redirect target reconciled against completed approved-screen and Batch evidence."
"PAGE-20","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/families/page.tsx","/angelcare-marketplace/admin/analytics/families","B11","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/analytics-security/repository|@/angelcare-marketplace/analytics-security/components/MetricRegistry","auth/context|analytics-security/repository|analytics-security/components/MetricRegistry","repository","NONE","YES","CAP-B11-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/analytics/families/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-21","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/finance/page.tsx","/angelcare-marketplace/admin/analytics/finance","B11","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/analytics-security/repository|@/angelcare-marketplace/analytics-security/components/MetricRegistry","auth/context|analytics-security/repository|analytics-security/components/MetricRegistry","repository","NONE","YES","CAP-B11-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/analytics/finance/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-22","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/marketplace/page.tsx","/angelcare-marketplace/admin/analytics/marketplace","B11","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/analytics-security/repository|@/angelcare-marketplace/analytics-security/components/MetricRegistry","auth/context|analytics-security/repository|analytics-security/components/MetricRegistry","repository","NONE","YES","CAP-B11-006","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/analytics/marketplace/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-23","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/operations/page.tsx","/angelcare-marketplace/admin/analytics/operations","B11","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/analytics-security/repository|@/angelcare-marketplace/analytics-security/components/MetricRegistry","auth/context|analytics-security/repository|analytics-security/components/MetricRegistry","repository","NONE","YES","CAP-B11-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/analytics/operations/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-24","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/page.tsx","/angelcare-marketplace/admin/analytics","B08|B11","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/analytics-security/repository|@/angelcare-marketplace/analytics-security/components/AnalyticsCommand","auth/context|analytics-security/repository|analytics-security/components/AnalyticsCommand","repository","NONE","YES","CAP-B11-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/analytics/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-25","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/providers/page.tsx","/angelcare-marketplace/admin/analytics/providers","B08|B11","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/analytics-security/repository|@/angelcare-marketplace/analytics-security/components/MetricRegistry","auth/context|analytics-security/repository|analytics-security/components/MetricRegistry","repository","NONE","YES","CAP-B11-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/analytics/providers/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-26","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/territories/page.tsx","/angelcare-marketplace/admin/analytics/territories","B11","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/analytics-security/repository|@/angelcare-marketplace/analytics-security/components/MetricRegistry","auth/context|analytics-security/repository|analytics-security/components/MetricRegistry","repository","NONE","YES","CAP-B11-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/analytics/territories/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-27","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/analytics/trust/page.tsx","/angelcare-marketplace/admin/analytics/trust","B11","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/analytics-security/repository|@/angelcare-marketplace/analytics-security/components/MetricRegistry","auth/context|analytics-security/repository|analytics-security/components/MetricRegistry","repository","NONE","YES","CAP-B11-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/analytics/trust/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-28","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/approvals/page.tsx","/angelcare-marketplace/admin/approvals","B04","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/design-system/ui|@/angelcare-marketplace/sovereign-control/components/ApprovalCenter|@/angelcare-marketplace/sovereign-control/repository","auth/context|design-system/ui|sovereign-control/components/ApprovalCenter|sovereign-control/repository","repository","NONE","YES","CAP-B04-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/approvals/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-29","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/bookings/page.tsx","/angelcare-marketplace/admin/bookings","B04","dynamic","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/enterprise-closure/repository|@/angelcare-marketplace/enterprise-closure/components/BookingCommand","auth/context|enterprise-closure/repository|enterprise-closure/components/BookingCommand","repository","NONE","YES","CAP-B04-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/bookings/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-30","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/bulk-operations/page.tsx","/angelcare-marketplace/admin/bulk-operations","B07","dynamic","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/enterprise-command/components/BulkOperationsCenter","auth/context|enterprise-command/components/BulkOperationsCenter","NONE","NONE","YES","CAP-B07-010","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/bulk-operations/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-31","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/business-pulse/page.tsx","/angelcare-marketplace/admin/business-pulse","B11","dynamic","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/enterprise-command/components/BusinessPulseCommand","auth/context|enterprise-command/components/BusinessPulseCommand","NONE","NONE","YES","CAP-B11-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/business-pulse/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-32","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/categories/[categoryId]/page.tsx","/angelcare-marketplace/admin/catalog/categories/:categoryId","UNMAPPED","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-B02-002","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/categories/[categoryId]/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-33","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/categories/[categoryId]/products/page.tsx","/angelcare-marketplace/admin/catalog/categories/:categoryId/products","UNMAPPED","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-B02-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/categories/[categoryId]/products/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-34","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/categories/[categoryId]/seo/page.tsx","/angelcare-marketplace/admin/catalog/categories/:categoryId/seo","UNMAPPED","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-B02-004","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/categories/[categoryId]/seo/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-35","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/categories/[categoryId]/storefront/page.tsx","/angelcare-marketplace/admin/catalog/categories/:categoryId/storefront","UNMAPPED","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-B02-003","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/categories/[categoryId]/storefront/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-36","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/categories/new/page.tsx","/angelcare-marketplace/admin/catalog/categories/new","B02","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-B02-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/categories/new/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-37","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/categories/page.tsx","/angelcare-marketplace/admin/catalog/categories","B02","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-B02-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/categories/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-38","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/collections/page.tsx","/angelcare-marketplace/admin/catalog/collections","B02","NONE","next/navigation","NONE","NONE","/angelcare-marketplace/admin/merchandising/collections","LEGACY_COMPATIBILITY","CAP-B02-001","SOURCE_REVIEWED","LEGACY_COMPATIBILITY_SURFACE","LEGACY_COMPATIBILITY_ONLY","app/angelcare-marketplace/(protected)/admin/catalog/collections/page.tsx; source imports/handlers and redirect target reconciled against completed approved-screen and Batch evidence."
"PAGE-39","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/import/page.tsx","/angelcare-marketplace/admin/catalog/import","UNMAPPED","dynamic","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/enterprise-command/components/ProductImportStudio","auth/context|enterprise-command/components/ProductImportStudio","NONE","NONE","YES","CAP-B07-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/import/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-40","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/availability/page.tsx","/angelcare-marketplace/admin/catalog/items/:itemId/availability","UNMAPPED","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-B01-007","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/availability/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-41","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/categories/page.tsx","/angelcare-marketplace/admin/catalog/items/:itemId/categories","UNMAPPED","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-GLOBAL-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/categories/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-42","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/commercial/page.tsx","/angelcare-marketplace/admin/catalog/items/:itemId/commercial","UNMAPPED","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-B01-006","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/commercial/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-43","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/content/page.tsx","/angelcare-marketplace/admin/catalog/items/:itemId/content","UNMAPPED","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-B01-005","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/content/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-44","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/fulfillment/page.tsx","/angelcare-marketplace/admin/catalog/items/:itemId/fulfillment","UNMAPPED","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-B01-008","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/fulfillment/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-45","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/history/page.tsx","/angelcare-marketplace/admin/catalog/items/:itemId/history","UNMAPPED","NONE","@/angelcare-marketplace/commerce-studio/admin-pages","commerce-studio/admin-pages","NONE","NONE","YES","CAP-GLOBAL-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/history/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
